secteur_activite;jour_max_du_mois_0_1;horodate;semaine_max_du_mois_0_1;plage_de_puissance_souscrite;region;total_energie_soutiree_wh;nb_points_soutirage;date;ville;lat;lon;zone_a;zone_b;zone_c;vacances_zone_a;vacances_zone_b;vacances_zone_c;nom_vacances;temperature_2m_mean;relative_humidity_mean;precipitation_sum
S1: Agriculture;0;2025-06-30T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;15727584.0;1746;2025-06-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;29.752083;46.599354;0.0
S1: Agriculture;0;2024-12-31T23:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;4151369.0;1733;2024-12-31;Lyon;45.764;4.8357;True;False;False;True;True;True;Vacances de Noël;-1.2791667;91.467995;0.0
S1: Agriculture;0;2025-09-30T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;3873704.0;1750;2025-09-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;12.895833;81.12937;0.0
S1: Agriculture;0;2024-06-30T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;4680196.0;1739;2024-06-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;19.995832;75.28407;0.70000005
S1: Agriculture;0;2024-09-30T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;3803091.0;1738;2024-09-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;16.581251;63.248806;0.3
S1: Agriculture;0;2023-06-30T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;5071366.0;1729;2023-06-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;19.806818;67.75477;8.099999
S1: Agriculture;0;2023-09-30T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;4006879.0;1730;2023-09-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;17.841667;71.37066;0.0
S1: Agriculture;0;2024-03-31T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;3009525.0;1722;2024-03-31;Lyon;45.764;4.8357;True;False;False;False;False;False;;11.869565;70.238304;11.3
S1: Agriculture;0;2025-03-31T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;3268202.0;1732;2025-03-31;Lyon;45.764;4.8357;True;False;False;False;False;False;;10.366667;69.96062;0.0
S1: Agriculture;0;2023-12-31T23:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;3404383.0;1722;2023-12-31;Lyon;45.764;4.8357;True;False;False;True;True;True;Vacances de Noël;7.9583335;86.040184;4.5
S2: Industrie;0;2025-09-30T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;19916207.0;8403;2025-09-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;12.895833;81.12937;0.0
S2: Industrie;0;2024-12-31T23:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;28488898.0;8370;2024-12-31;Lyon;45.764;4.8357;True;False;False;True;True;True;Vacances de Noël;-1.2791667;91.467995;0.0
S2: Industrie;0;2024-09-30T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;18832254.0;8369;2024-09-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;16.581251;63.248806;0.3
S2: Industrie;0;2023-09-30T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;16997566.0;8285;2023-09-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;17.841667;71.37066;0.0
S2: Industrie;0;2023-06-30T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;18668871.0;8282;2023-06-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;19.806818;67.75477;8.099999
S2: Industrie;0;2024-03-31T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;19718357.0;8358;2024-03-31;Lyon;45.764;4.8357;True;False;False;False;False;False;;11.869565;70.238304;11.3
S2: Industrie;0;2025-06-30T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;23028515.0;8443;2025-06-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;29.752083;46.599354;0.0
S2: Industrie;0;2023-12-31T23:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;23550117.0;8344;2023-12-31;Lyon;45.764;4.8357;True;False;False;True;True;True;Vacances de Noël;7.9583335;86.040184;4.5
S2: Industrie;0;2025-03-31T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;23490519.0;8410;2025-03-31;Lyon;45.764;4.8357;True;False;False;False;False;False;;10.366667;69.96062;0.0
S2: Industrie;0;2024-06-30T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;16355900.0;8371;2024-06-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;19.995832;75.28407;0.70000005
S3: Tertiaire;0;2023-06-30T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;102226692.0;37917;2023-06-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;19.806818;67.75477;8.099999
S3: Tertiaire;0;2024-09-30T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;93440879.0;38355;2024-09-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;16.581251;63.248806;0.3
S3: Tertiaire;0;2024-06-30T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;95041033.0;38246;2024-06-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;19.995832;75.28407;0.70000005
S3: Tertiaire;0;2025-09-30T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;101349021.0;39412;2025-09-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;12.895833;81.12937;0.0
S3: Tertiaire;0;2025-06-30T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;123072522.0;39121;2025-06-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;29.752083;46.599354;0.0
S3: Tertiaire;0;2024-12-31T23:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;211357474.0;38565;2024-12-31;Lyon;45.764;4.8357;True;False;False;True;True;True;Vacances de Noël;-1.2791667;91.467995;0.0
S3: Tertiaire;0;2023-12-31T23:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;175129386.0;37939;2023-12-31;Lyon;45.764;4.8357;True;False;False;True;True;True;Vacances de Noël;7.9583335;86.040184;4.5
S3: Tertiaire;0;2023-09-30T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;94377391.0;37916;2023-09-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;17.841667;71.37066;0.0
S3: Tertiaire;0;2025-03-31T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;132490821.0;38869;2025-03-31;Lyon;45.764;4.8357;True;False;False;False;False;False;;10.366667;69.96062;0.0
S3: Tertiaire;0;2024-03-31T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;124223716.0;38056;2024-03-31;Lyon;45.764;4.8357;True;False;False;False;False;False;;11.869565;70.238304;11.3
S4: Non Affecté;0;2023-09-30T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;331289.0;205;2023-09-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;17.841667;71.37066;0.0
S4: Non Affecté;0;2024-06-30T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;357810.0;187;2024-06-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;19.995832;75.28407;0.70000005
S1: Agriculture;0;2024-09-30T22:00:00Z;0;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;1927416.0;204;2024-09-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;16.581251;63.248806;0.3
S4: Non Affecté;0;2025-03-31T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;237703.0;82;2025-03-31;Lyon;45.764;4.8357;True;False;False;False;False;False;;10.366667;69.96062;0.0
S4: Non Affecté;0;2024-03-31T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;627194.0;244;2024-03-31;Lyon;45.764;4.8357;True;False;False;False;False;False;;11.869565;70.238304;11.3
S4: Non Affecté;0;2025-09-30T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;133281.0;82;2025-09-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;12.895833;81.12937;0.0
S4: Non Affecté;0;2023-06-30T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;336051.0;209;2023-06-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;19.806818;67.75477;8.099999
S4: Non Affecté;0;2025-06-30T22:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;119637.0;81;2025-06-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;29.752083;46.599354;0.0
S4: Non Affecté;0;2024-12-31T23:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;559559.0;99;2024-12-31;Lyon;45.764;4.8357;True;False;False;True;True;True;Vacances de Noël;-1.2791667;91.467995;0.0
S4: Non Affecté;0;2023-12-31T23:00:00Z;0;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;843908.0;199;2023-12-31;Lyon;45.764;4.8357;True;False;False;True;True;True;Vacances de Noël;7.9583335;86.040184;4.5
S1: Agriculture;0;2025-06-30T22:00:00Z;0;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;5236583.0;206;2025-06-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;29.752083;46.599354;0.0
S1: Agriculture;0;2024-12-31T23:00:00Z;0;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;1517333.0;205;2024-12-31;Lyon;45.764;4.8357;True;False;False;True;True;True;Vacances de Noël;-1.2791667;91.467995;0.0
S1: Agriculture;0;2023-12-31T23:00:00Z;0;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;1209583.0;198;2023-12-31;Lyon;45.764;4.8357;True;False;False;True;True;True;Vacances de Noël;7.9583335;86.040184;4.5
S1: Agriculture;0;2025-09-30T22:00:00Z;0;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;2103666.0;210;2025-09-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;12.895833;81.12937;0.0
S2: Industrie;0;2024-09-30T22:00:00Z;0;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;16229688.0;2169;2024-09-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;16.581251;63.248806;0.3
S1: Agriculture;0;2023-09-30T22:00:00Z;0;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;2050750.0;200;2023-09-30;Lyon;45.764;4.8357;True;False;False;False;False;False;;17.841667;71.37066;0.0
