"profil";"secteur_activite";"date";"region";"temperature_2m_mean";"relative_humidity_mean";"precipitation_sum";"total_energie_soutiree_wh";"is_vacances";"nom_vacances"
ENT1 (+ ENT2);S4: Non Affecté;2023-10-03;Nouvelle Aquitaine;;;;35692091;0;
ENT1 (+ ENT2);S3: Tertiaire;2024-01-02;Bourgogne-Franche-Comté;6.910417;88.4743;12.400001;8176327329;1;Vacances de Noël
ENT3 (+ ENT4 + ENT5 + ENT7);S2: Industrie;2023-10-05;Grand-Est;;;;34647931187;0;
ENT1 (+ ENT2);S4: Non Affecté;2024-03-31;Pays de la Loire;9.628261;80.00282;3.8;22813113;0;
ENT1 (+ ENT2);S2: Industrie;2025-07-19;Auvergne-Rhône-Alpes;22.339584;69.38274;22.8;3756235259;1;Vacances d'été
ENT1 (+ ENT2);S2: Industrie;2025-07-03;Provence-Alpes-Côte d'Azur;28.658333;57.611053;0.0;2884834214;0;
ENT1 (+ ENT2);S1: Agriculture;2025-04-13;Hauts-de-France;13.877083;72.6863;2.8;651533933;1;Vacances de printemps
ENT1 (+ ENT2);S4: Non Affecté;2025-03-31;Hauts-de-France;8.195833;77.264656;0.0;4364967.0;0;
ENT1 (+ ENT2);S3: Tertiaire;2023-07-20;Normandie;17.179167;76.00365;0.4;7764146812;1;Vacances d'été
ENT1 (+ ENT2);S4: Non Affecté;2025-10-05;Grand-Est;;;;4047619.0;0;
ENT3 (+ ENT4 + ENT5 + ENT7);S1: Agriculture;2025-06-30;Bretagne;27.647917;55.89;0.0;743421760;0;
ENT3 (+ ENT4 + ENT5 + ENT7);S2: Industrie;2024-07-15;Pays de la Loire;17.5375;81.46397;8.9;27576833953;1;Vacances d'été
ENT3 (+ ENT4 + ENT5 + ENT7);S4: Non Affecté;2023-10-14;Hauts-de-France;11.73125;75.85019;4.2;12539232;0;
ENT3 (+ ENT4 + ENT5 + ENT7);S4: Non Affecté;2025-01-21;Provence-Alpes-Côte d'Azur;10.3625;81.74999;0.4;0.0;0;
ENT1 (+ ENT2);S4: Non Affecté;2024-07-14;Pays de la Loire;15.977084;80.2604;0.0;26101114;1;Vacances d'été
ENT3 (+ ENT4 + ENT5 + ENT7);S3: Tertiaire;2024-07-16;Hauts-de-France;16.99375;81.139984;2.6;20634632977;1;Vacances d'été
ENT3 (+ ENT4 + ENT5 + ENT7);S3: Tertiaire;2025-07-17;Hauts-de-France;20.1875;68.98128;0.0;21878631580;1;Vacances d'été
ENT3 (+ ENT4 + ENT5 + ENT7);S1: Agriculture;2025-01-10;Hauts-de-France;-2.7666667;94.6727;0.0;788894732;0;
