secteur_activite;horodate;plage_de_puissance_souscrite;region;nb_points_soutirage;date;temperature_2m_mean;relative_humidity_mean;precipitation_sum;total_energie_soutiree_wh
S1: Agriculture;2025-06-30T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;1746;30/06/2025;29.752083;46.599354;0.0;15727584.0
S1: Agriculture;2024-12-31T23:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;1733;31/12/2024;-1.2791667;91.467995;0.0;4151369.0
S1: Agriculture;2025-09-30T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;1750;30/09/2025;12.895833;81.12937;0.0;3873704.0
S1: Agriculture;2024-06-30T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;1739;30/06/2024;19.995832;75.28407;0.70000005;4680196.0
S1: Agriculture;2024-09-30T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;1738;30/09/2024;16.581251;63.248806;0.3;3803091.0
S1: Agriculture;2023-06-30T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;1729;30/06/2023;19.806818;67.75477;8.099999;5071366.0
S1: Agriculture;2023-09-30T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;1730;30/09/2023;17.841667;71.37066;0.0;4006879.0
S1: Agriculture;2024-03-31T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;1722;31/03/2024;11.869565;70.238304;11.3;3009525.0
S1: Agriculture;2025-03-31T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;1732;31/03/2025;10.366667;69.96062;0.0;3268202.0
S1: Agriculture;2023-12-31T23:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;1722;31/12/2023;7.9583335;86.040184;4.5;3404383.0
S2: Industrie;2025-09-30T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;8403;30/09/2025;12.895833;81.12937;0.0;19916207.0
S2: Industrie;2024-12-31T23:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;8370;31/12/2024;-1.2791667;91.467995;0.0;28488898.0
S2: Industrie;2024-09-30T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;8369;30/09/2024;16.581251;63.248806;0.3;18832254.0
S2: Industrie;2023-09-30T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;8285;30/09/2023;17.841667;71.37066;0.0;16997566.0
S2: Industrie;2023-06-30T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;8282;30/06/2023;19.806818;67.75477;8.099999;18668871.0
S2: Industrie;2024-03-31T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;8358;31/03/2024;11.869565;70.238304;11.3;19718357.0
S2: Industrie;2025-06-30T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;8443;30/06/2025;29.752083;46.599354;0.0;23028515.0
S2: Industrie;2023-12-31T23:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;8344;31/12/2023;7.9583335;86.040184;4.5;23550117.0
S2: Industrie;2025-03-31T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;8410;31/03/2025;10.366667;69.96062;0.0;23490519.0
S2: Industrie;2024-06-30T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;8371;30/06/2024;19.995832;75.28407;0.70000005;16355900.0
S3: Tertiaire;2023-06-30T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;37917;30/06/2023;19.806818;67.75477;8.099999;102226692.0
S3: Tertiaire;2024-09-30T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;38355;30/09/2024;16.581251;63.248806;0.3;93440879.0
S3: Tertiaire;2024-06-30T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;38246;30/06/2024;19.995832;75.28407;0.70000005;95041033.0
S3: Tertiaire;2025-09-30T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;39412;30/09/2025;12.895833;81.12937;0.0;101349021.0
S3: Tertiaire;2025-06-30T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;39121;30/06/2025;29.752083;46.599354;0.0;123072522.0
S3: Tertiaire;2024-12-31T23:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;38565;31/12/2024;-1.2791667;91.467995;0.0;211357474.0
S3: Tertiaire;2023-12-31T23:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;37939;31/12/2023;7.9583335;86.040184;4.5;175129386.0
S3: Tertiaire;2023-09-30T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;37916;30/09/2023;17.841667;71.37066;0.0;94377391.0
S3: Tertiaire;2025-03-31T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;38869;31/03/2025;10.366667;69.96062;0.0;132490821.0
S3: Tertiaire;2024-03-31T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;38056;31/03/2024;11.869565;70.238304;11.3;124223716.0
S4: Non Affecté;2023-09-30T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;205;30/09/2023;17.841667;71.37066;0.0;331289.0
S4: Non Affecté;2024-06-30T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;187;30/06/2024;19.995832;75.28407;0.70000005;357810.0
S1: Agriculture;2024-09-30T22:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;204;30/09/2024;16.581251;63.248806;0.3;1927416.0
S4: Non Affecté;2025-03-31T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;82;31/03/2025;10.366667;69.96062;0.0;237703.0
S4: Non Affecté;2024-03-31T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;244;31/03/2024;11.869565;70.238304;11.3;627194.0
S4: Non Affecté;2025-09-30T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;82;30/09/2025;12.895833;81.12937;0.0;133281.0
S4: Non Affecté;2023-06-30T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;209;30/06/2023;19.806818;67.75477;8.099999;336051.0
S4: Non Affecté;2025-06-30T22:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;81;30/06/2025;29.752083;46.599354;0.0;119637.0
S4: Non Affecté;2024-12-31T23:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;99;31/12/2024;-1.2791667;91.467995;0.0;559559.0
S4: Non Affecté;2023-12-31T23:00:00Z;P1: ]36-120] kVA;Auvergne-Rhône-Alpes;199;31/12/2023;7.9583335;86.040184;4.5;843908.0
S1: Agriculture;2025-06-30T22:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;206;30/06/2025;29.752083;46.599354;0.0;5236583.0
S1: Agriculture;2024-12-31T23:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;205;31/12/2024;-1.2791667;91.467995;0.0;1517333.0
S1: Agriculture;2023-12-31T23:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;198;31/12/2023;7.9583335;86.040184;4.5;1209583.0
S1: Agriculture;2025-09-30T22:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;210;30/09/2025;12.895833;81.12937;0.0;2103666.0
S2: Industrie;2024-09-30T22:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;2169;30/09/2024;16.581251;63.248806;0.3;16229688.0
S1: Agriculture;2023-09-30T22:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;200;30/09/2023;17.841667;71.37066;0.0;2050750.0
S1: Agriculture;2023-06-30T22:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;200;30/06/2023;19.806818;67.75477;8.099999;2132500.0
S1: Agriculture;2024-03-31T22:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;197;31/03/2024;11.869565;70.238304;11.3;1093333.0
S1: Agriculture;2025-03-31T22:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;204;31/03/2025;10.366667;69.96062;0.0;1244916.0
S1: Agriculture;2024-06-30T22:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;197;30/06/2024;19.995832;75.28407;0.70000005;2014750.0
S2: Industrie;2025-03-31T22:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;2236;31/03/2025;10.366667;69.96062;0.0;18974785.0
S2: Industrie;2023-09-30T22:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;2127;30/09/2023;17.841667;71.37066;0.0;11424650.0
S2: Industrie;2025-06-30T22:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;2251;30/06/2025;29.752083;46.599354;0.0;18474250.0
S2: Industrie;2023-06-30T22:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;2116;30/06/2023;19.806818;67.75477;8.099999;13459628.0
S2: Industrie;2024-03-31T22:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;2144;31/03/2024;11.869565;70.238304;11.3;13149250.0
S2: Industrie;2023-12-31T23:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;2112;31/12/2023;7.9583335;86.040184;4.5;15024720.0
S2: Industrie;2024-06-30T22:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;2146;30/06/2024;19.995832;75.28407;0.70000005;12015273.0
S2: Industrie;2025-09-30T22:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;2235;30/09/2025;12.895833;81.12937;0.0;17025112.0
S2: Industrie;2024-12-31T23:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;2201;31/12/2024;-1.2791667;91.467995;0.0;18375517.0
S3: Tertiaire;2024-09-30T22:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;7229;30/09/2024;16.581251;63.248806;0.3;49979080.0
S3: Tertiaire;2024-06-30T22:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;7151;30/06/2024;19.995832;75.28407;0.70000005;52130983.0
S3: Tertiaire;2023-09-30T22:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;6972;30/09/2023;17.841667;71.37066;0.0;50002592.0
S3: Tertiaire;2024-03-31T22:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;7082;31/03/2024;11.869565;70.238304;11.3;70054624.0
S3: Tertiaire;2025-06-30T22:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;7287;30/06/2025;29.752083;46.599354;0.0;64648906.0
S3: Tertiaire;2025-09-30T22:00:00Z;P2: ]120-250] kVA;Auvergne-Rhône-Alpes;7222;30/09/2025;12.895833;81.12937;0.0;52170127.0
